======================================================================
TABLE: Empirical posterior histogram data
======================================================================

valid_time_step_index   | time   | time_unit   | parameter                         | parameter_id                      | unit    | bin_left             | bin_right            | density                 | count   | posterior_mean      
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 341.9234924316406    | 341.9971923828125    | 0.027137060041407868    | 2       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 341.9971923828125    | 342.0708923339844    | 0.06784265010351967     | 5       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.0708923339844    | 342.14459228515625   | 0.1221167701863354      | 9       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.14459228515625   | 342.21826171875      | 0.24433471416735708     | 18      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.21826171875      | 342.2919616699219    | 0.2578020703933747      | 19      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.2919616699219    | 342.36566162109375   | 0.407055900621118       | 30      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.36566162109375   | 342.4393615722656    | 0.6512894409937888      | 48      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.4393615722656    | 342.5130615234375    | 0.8819544513457557      | 65      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.5130615234375    | 342.5867614746094    | 0.9497971014492753      | 70      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.5867614746094    | 342.66046142578125   | 1.3839900621118013      | 102     | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.66046142578125   | 342.734130859375     | 1.4117116818558408      | 104     | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.734130859375     | 342.8078308105469    | 1.1940306418219462      | 88      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.8078308105469    | 342.88153076171875   | 1.3568530020703933      | 100     | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.88153076171875   | 342.9552307128906    | 1.641792132505176       | 121     | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 342.9552307128906    | 343.0289306640625    | 0.8412488612836438      | 62      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.0289306640625    | 343.10260009765625   | 0.7194299917149959      | 53      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.10260009765625   | 343.1763000488281    | 0.4341929606625259      | 32      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.1763000488281    | 343.25               | 0.2849391304347826      | 21      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.25               | 343.3236999511719    | 0.3392132505175983      | 25      | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.3236999511719    | 343.39739990234375   | 0.1221167701863354      | 9       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.39739990234375   | 343.4710998535156    | 0.054274120082815736    | 4       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.4710998535156    | 343.5447998046875    | 0.054274120082815736    | 4       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.5447998046875    | 343.61846923828125   | 0.0                     | 0       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.61846923828125   | 343.6921691894531    | 0.0                     | 0       | 342.7469482421875   
40                      | 41.0   |             | Cathode inlet temperature         | cathode_inlet_temperature         | K       | 343.6921691894531    | 343.765869140625     | 0.0407055900621118      | 3       | 342.7469482421875   
40                      | 41.0   |             | Anode inlet pressure              | anode_inlet_pressure              | atm     | 1.7858749628067017   | 1.7969633340835571   | 0.2705537111894728      | 3       | 1.9746394157409668  
40                      | 41.0   |             | Anode inlet pressure              | anode_inlet_pressure              | atm     | 1.7969633340835571   | 1.8080517053604126   | 0.18036914079298186     | 2       | 1.9746394157409668  
40                      | 41.0   |             | Anode inlet pressure              | anode_inlet_pressure              | atm     | 1.8080517053604126   | 1.8191401958465576   | 0.09018360084715697     | 1       | 1.9746394157409668  
40                      | 41.0   |             | Anode inlet pressure              | anode_inlet_pressure              | atm     | 1.8191401958465576   | 1.830228567123413    | 0.18036914079298186     | 2       | 1.9746394157409668  
40                      | 41.0   |             | Anode inlet pressure              | anode_inlet_pressure              | atm     | 1.830228567123413    | 1.8413169384002686   | 0.2705537111894728      | 3       | 1.9746394157409668  
40                      | 41.0   |             | Anode inlet pressure              | anode_inlet_pressure              | atm     | 1.8413169384002686   | 1.852405309677124    | 0.7214765631719274      | 8       | 1.9746394157409668  
40                      | 41.0   |             | Anode inlet pressure              | anode_inlet_pressure              | atm     | 1.852405309677124    | 1.8634936809539795   | 0.9018457039649093      | 10      | 1.9746394157409668  
40                      | 41.0   |             | Anode inlet pressure              | anode_inlet_pressure              | atm     | 1.8634936809539795   | 1.874582052230835    | 1.352768555947364       | 15      | 1.9746394157409668  
